Survived,Sex,Age,Parch,Fare,Embarked_S,Embarked_C,Embarked_Q,First Class,Second Class,Third Class
386,0,0,0.007288263,0.333333333,0.091542703,1,0,0,0,0
387,1,1,0.447097261,0,0.02537431,1,0,0,0,1
389,1,1,0.208343805,0,0.02342244,0,1,0,0,1
390,1,0,0.447097261,0.333333333,0.234224401,1,0,0,1,0
391,1,0,0.25860769,0,0.015216388,1,0,0,0,0
392,0,0,0.34656949,0,0.01546857,1,0,0,0,0
393,1,1,0.283739633,0,0.221098075,0,1,0,1,0
394,1,1,0.296305604,0.333333333,0.032596229,1,0,0,0,0
395,0,0,0.271173662,0,0.015216388,1,0,0,0,0
396,0,1,0.384267404,0,0.015330377,1,0,0,0,0
397,0,0,0.572756974,0,0.05074862,1,0,0,0,1
398,0,0,0.283739633,0,0.020494635,1,0,0,0,1
399,1,1,0.34656949,0,0.024691156,1,0,0,0,1
400,1,0,0.484795175,0,0.01546857,1,0,0,0,0
401,0,0,0.321437547,0,0.015712554,1,0,0,0,0
402,0,1,0.25860769,0,0.019177123,1,0,0,0,0
403,0,0,0.34656949,0,0.03093714,1,0,0,0,0
404,0,1,0.246041719,0,0.016908074,1,0,0,0,0
405,0,0,0.421965318,0,0.04098927,1,0,0,0,1
406,0,0,0.635586831,0,0.015126993,1,0,0,0,0
407,1,0,0.032420206,0.166666667,0.036597563,1,0,0,0,1
408,0,0,0.25860769,0,0.015175789,1,0,0,0,0
412,1,1,0.409399347,0,0.175668301,0,0,1,1,0
414,1,0,0.547625031,0,0.01546857,1,0,0,0,0
416,1,1,0.421965318,0.166666667,0.063435775,1,0,0,0,1
417,1,1,0.220909776,0.333333333,0.02537431,1,0,0,0,1
418,0,0,0.371701433,0,0.02537431,1,0,0,0,1
419,0,1,0.120382006,0.333333333,0.047137661,1,0,0,0,0
421,0,0,0.25860769,0,0.015094396,0,0,1,0,0
422,0,0,0.359135461,0,0.015370976,1,0,0,0,0
423,0,1,0.34656949,0.166666667,0.028106928,1,0,0,0,0
424,0,0,0.220909776,0.166666667,0.039452173,1,0,0,0,0
426,1,1,0.34656949,0,0.05074862,1,0,0,0,1
427,1,1,0.233475748,0,0.05074862,1,0,0,0,1
429,1,0,0.396833375,0,0.015712554,1,0,0,0,0
430,1,0,0.34656949,0,0.051822149,1,0,0,1,0
432,1,1,0.522493089,0,0.05074862,1,0,0,0,1
433,0,0,0.208343805,0,0.013907074,1,0,0,0,0
434,0,0,0.62302086,0,0.109109534,1,0,0,1,0
435,1,1,0.170645891,0.333333333,0.234224401,1,0,0,1,0
436,0,1,0.25860769,0.333333333,0.067095532,1,0,0,0,0
437,1,1,0.296305604,0.5,0.036597563,1,0,0,0,1
438,0,0,0.798944458,0.666666667,0.513341812,1,0,0,1,0
439,0,0,0.384267404,0,0.020494635,1,0,0,0,1
440,1,1,0.560191003,0.166666667,0.051236588,1,0,0,0,1
441,0,0,0.246041719,0,0.018542765,1,0,0,0,0
442,0,0,0.308871576,0,0.015175789,1,0,0,0,0
443,1,1,0.34656949,0,0.02537431,1,0,0,0,1
445,1,0,0.044986177,0.333333333,0.159776761,1,0,0,1,0
446,1,1,0.15807992,0.166666667,0.038061465,1,0,0,0,1
447,1,0,0.421965318,0,0.051822149,1,0,0,1,0
448,1,1,0.057552149,0.166666667,0.037589698,0,1,0,0,0
449,1,0,0.648152802,0,0.059532035,1,0,0,1,0
450,0,0,0.447097261,0.333333333,0.054164393,1,0,0,0,1
452,0,0,0.371701433,0,0.054164393,0,1,0,1,0
453,1,0,0.610454888,0,0.173919816,0,1,0,1,0
455,1,0,0.359135461,0,0.015411575,0,1,0,0,0
456,0,0,0.81151043,0,0.051822149,1,0,0,1,0
458,1,1,0.62302086,0,0.020494635,1,0,0,0,1
460,1,0,0.597888917,0,0.051822149,1,0,0,1,0
461,0,0,0.421965318,0,0.015712554,1,0,0,0,0
462,0,0,0.585322946,0,0.075146995,1,0,0,1,0
463,0,0,0.597888917,0,0.02537431,1,0,0,0,1
465,0,0,0.472229203,0,0.013760684,1,0,0,0,0
467,0,0,0.698416688,0,0.051822149,1,0,0,1,0
469,1,1,0.004146771,0.166666667,0.037589698,0,1,0,0,0
471,0,0,0.472229203,0,0.016908074,1,0,0,0,0
472,1,1,0.409399347,0.333333333,0.054164393,1,0,0,0,1
473,1,1,0.283739633,0,0.026919606,0,1,0,0,1
474,0,1,0.271173662,0,0.019201521,1,0,0,0,0
476,0,0,0.421965318,0,0.04098927,1,0,0,0,1
477,0,0,0.359135461,0,0.013752486,1,0,0,0,0
478,0,0,0.271173662,0,0.014679624,1,0,0,0,0
479,1,1,0.019854235,0.166666667,0.023983603,1,0,0,0,0
480,0,0,0.107816034,0.333333333,0.091542703,1,0,0,0,0
482,0,0,0.62302086,0,0.015712554,1,0,0,0,0
483,1,1,0.786378487,0,0.018713554,1,0,0,0,0
484,1,0,0.308871576,0,0.177774759,0,1,0,1,0
486,1,1,0.434531289,0,0.175668301,1,0,0,1,0
487,0,0,0.72354863,0,0.057970539,0,1,0,1,0
488,0,0,0.371701433,0,0.015712554,1,0,0,0,0
489,1,0,0.107816034,0.166666667,0.031034733,1,0,0,0,0
491,0,0,0.25860769,0,0.014151058,1,0,0,0,0
492,0,0,0.685850716,0,0.059532035,1,0,0,1,0
493,0,0,0.886906258,0,0.096625763,0,1,0,1,0
494,0,0,0.25860769,0,0.015712554,1,0,0,0,0
496,1,1,0.673284745,0,0.152766424,0,1,0,1,0
498,0,1,0.308871576,0.333333333,0.2958059,1,0,0,1,0
499,0,0,0.296305604,0,0.015216388,1,0,0,0,0
500,0,0,0.208343805,0,0.016908074,1,0,0,0,0
501,0,1,0.25860769,0,0.015126993,0,0,1,0,0
503,0,1,0.459663232,0,0.018713554,1,0,0,0,0
504,1,1,0.195777834,0,0.168836756,1,0,0,1,0
505,0,0,0.220909776,0,0.212558644,0,1,0,1,0
506,1,1,0.409399347,0.333333333,0.05074862,1,0,0,0,1
508,0,0,0.34656949,0,0.043965872,1,0,0,0,0
509,1,0,0.321437547,0,0.110272458,1,0,0,0,0
510,1,0,0.359135461,0,0.015126993,0,0,1,0,0
512,1,0,0.447097261,0,0.051309783,1,0,0,1,0
513,1,1,0.673284745,0,0.115941079,0,1,0,1,0
514,0,0,0.296305604,0,0.014630827,1,0,0,0,0
515,0,0,0.585322946,0,0.066404179,1,0,0,1,0
516,1,1,0.421965318,0,0.020494635,1,0,0,0,1
518,1,1,0.447097261,0,0.05074862,1,0,0,0,1
519,0,0,0.396833375,0,0.015411575,1,0,0,0,0
520,1,1,0.371701433,0,0.182499846,1,0,0,1,0
521,0,0,0.271173662,0,0.015411575,1,0,0,0,0
523,1,1,0.547625031,0.166666667,0.113167862,0,1,0,1,0
525,0,0,0.503644132,0,0.015126993,0,0,1,0,0
526,1,1,0.62302086,0,0.020494635,1,0,0,0,1
528,0,0,0.484795175,0,0.01546857,1,0,0,0,0
529,0,0,0.283739633,0.166666667,0.022446505,1,0,0,0,1
530,1,1,0.019854235,0.166666667,0.05074862,1,0,0,0,1
532,0,0,0.208343805,0.166666667,0.014110459,0,1,0,0,0
534,0,1,0.371701433,0,0.016908074,1,0,0,0,0
535,1,1,0.082684091,0.333333333,0.051236588,1,0,0,0,1
536,0,0,0.560191003,0,0.051822149,1,0,0,1,0
537,1,1,0.371701433,0,0.207727766,0,1,0,1,0
539,1,1,0.271173662,0.333333333,0.096617565,0,1,0,1,0
540,1,1,0.447097261,0.333333333,0.138582771,1,0,0,1,0
541,0,1,0.107816034,0.333333333,0.061044735,1,0,0,0,0
542,0,1,0.132947977,0.333333333,0.061044735,1,0,0,0,0
543,1,0,0.396833375,0,0.05074862,1,0,0,0,1
544,0,0,0.62302086,0,0.207727766,0,1,0,1,0
545,0,0,0.798944458,0,0.05074862,1,0,0,1,0
546,1,1,0.233475748,0,0.05074862,1,0,0,0,1
548,0,0,0.409399347,0.166666667,0.040062132,1,0,0,0,0
549,1,0,0.095250063,0.166666667,0.071731223,1,0,0,0,1
550,1,0,0.208343805,0.333333333,0.216429788,0,1,0,1,0
551,0,0,0.334003519,0,0.05074862,1,0,0,0,1
553,1,0,0.271173662,0,0.014102261,0,1,0,0,0
554,1,1,0.271173662,0,0.015175789,1,0,0,0,0
555,0,0,0.773812516,0,0.051822149,1,0,0,1,0
556,1,1,0.597888917,0,0.077294052,0,1,0,1,0
558,1,1,0.484795175,0.166666667,0.155466446,1,0,0,1,0
559,1,1,0.447097261,0,0.033962538,1,0,0,0,0
561,0,0,0.497361146,0,0.015411575,1,0,0,0,0
562,0,0,0.34656949,0,0.026350245,1,0,0,0,1
565,0,0,0.296305604,0,0.047137661,1,0,0,0,0
